What is 7,845 + 6,279?|14,124#13,124#14,024#14,224
What is 15,000 - 7,856?|7,144#7,244#8,144#6,144
What is 48 × 25?|1,200#1,000#1,100#1,250
What is 1,728 ÷ 24?|72#62#82#74
What is 35% of 240?|84#72#80#96
What is 0.625 as a fraction in its simplest form?|5/8#3/5#5/6#1/2
What is 3/4 + 2/5?|23/20#17/20#11/20#19/20
What is 5/6 - 1/4?|7/12#4/12#3/12#5/12
What is 2 1/3 + 1 1/6?|3 1/2#3 1/3#3 2/3#2 1/2
What is 4.8 × 0.5?|2.4#2.2#2.8#24
What is 7.2 ÷ 0.8?|9#8#10#7
What is the highest common factor of 18 and 24?|6#4#8#12
What is the lowest common multiple of 8 and 12?|24#16#32#48
Which number is both a square number and a multiple of 3?|36#24#30#42
What is 2³ × 3?|24#18#12#36
A shirt costs $80 and is reduced by 25%. What is the sale price?|$60#$55#$65#$70
A rectangle has an area of 96 cm² and a width of 8 cm. What is its length?|12 cm#10 cm#14 cm#16 cm
A triangle has angles of 45° and 65°. What is the third angle?|70°#60°#80°#75°
What is the perimeter of a rectangle measuring 15 cm by 7 cm?|44 cm#42 cm#40 cm#46 cm
What is the mean of 12, 15, 18, 21 and 24?|18#17#19#20
What is the probability of rolling an even number on a fair six-sided die?|1/2#1/3#2/3#1/6
Which graph is most suitable for showing change over time?|Line graph#Pie chart#Bar chart#Pictogram
What is 3.75 written as a percentage?|375%#37.5%#3.75%#35.75%
If 5 pens cost $7.50, how much does one pen cost?|$1.50#$1.25#$2.00#$1.75
What is the ratio of 12 boys to 18 girls in its simplest form?|2:3#3:2#4:5#6:9
Which word is a conjunction?|Although#Quickly#Beautiful#Mountain
Which sentence is in the present perfect tense?|She has finished her homework.#She finished her homework.#She is finishing her homework.#She will finish her homework.
Which word is closest in meaning to "reluctant"?|Unwilling#Excited#Confident#Certain
Which word is the opposite of "scarce"?|Abundant#Rare#Limited#Small
What is the purpose of a conclusion in an argument?|To summarise the main points and support the final idea#To introduce a new topic#To ask unrelated questions#To provide a title
Which sentence contains personification?|The wind whispered through the trees.#The wind was strong.#The trees were tall.#The leaves were green.
What is a metaphor?|A comparison that describes one thing as another#A question with no answer#A repeated sound#A list of facts
Which sentence uses a semicolon correctly?|I finished my work; then I went outside.#I finished; my work then I went outside.#I; finished my work then I went outside.#I finished my work then; I went outside.
What is an inference based on?|Evidence and reasoning#Guessing without clues#The title only#The number of paragraphs
Which feature helps organise information in a non-fiction text?|Headings#Rhyming words#Characters#Dialogue
Which Indonesian word means "development"?|Perkembangan#Perjalanan#Perdagangan#Perbedaan
What is the Indonesian word for "achievement"?|Pencapaian#Kegagalan#Perubahan#Kebiasaan
Which Indonesian word is a conjunction?|Meskipun#Cepat#Rumah#Membaca
What is the opposite of "optimis" in Indonesian?|Pesimis#Aktif#Kreatif#Produktif
Which sentence uses effective formal Indonesian?|Pemerintah perlu meningkatkan kualitas pendidikan.#Pemerintah kudu bikin sekolah keren.#Aku mau sekolahnya bagus banget.#Sekolah itu enak banget.
What does "keberagaman" mean?|Variety or diversity#Competition#Agreement#Movement
What is the purpose of an argumentative text?|To present reasons supporting a viewpoint#To describe a fictional character#To tell a fairy tale#To list vocabulary
Which word is a synonym for "cermat"?|Teliti#Lambat#Kasar#Lemah
Which Indonesian text type explains how to do something?|Teks prosedur#Teks narasi#Teks puisi#Teks deskripsi
What is the main purpose of a conclusion in an Indonesian report?|To summarise the information presented#To introduce the topic#To add an unrelated story#To list characters
Which organ is mainly responsible for filtering waste from the blood?|Kidneys#Heart#Lungs#Stomach
What is the function of red blood cells?|Transport oxygen#Fight all diseases#Digest food#Produce hormones
What is the function of white blood cells?|Defend the body against pathogens#Carry oxygen#Pump blood#Digest fats
What is the difference between a physical and chemical change?|A chemical change forms new substances#A physical change always forms a new substance#They are exactly the same#Neither can be reversed
Which process changes a liquid into a gas?|Evaporation#Condensation#Freezing#Melting
