12 + 15 =|27#26#28#25
24 + 13 =|37#36#38#35
35 + 14 =|49#48#50#47
42 + 16 =|58#57#59#56
27 + 21 =|48#47#49#46
56 - 24 =|32#31#33#34
48 - 15 =|33#32#34#35
73 - 21 =|52#51#53#54
64 - 32 =|32#31#33#34
50 - 18 =|32#31#33#30
2 × 5 =|10#8#12#15
3 × 4 =|12#10#14#16
5 × 6 =|30#25#35#36
10 × 4 =|40#30#50#44
4 × 7 =|28#24#26#30
12 / 3 =|4#3#5#6
20 / 5 =|4#5#6#3
18 / 2 =|9#8#10#7
16 / 4 =|4#3#5#6
30 / 6 =|5#4#6#7
Bilangan yang lebih besar dari 56 adalah|57#55#54#53
Angka puluhan pada bilangan 48 adalah|4#8#48#0
Bangun datar yang memiliki 4 sisi sama panjang adalah|Persegi#Segitiga#Lingkaran#Oval
Bangun datar yang tidak memiliki sudut adalah|Lingkaran#Persegi#Segitiga#Persegi panjang
Satu minggu terdiri dari|7 hari#5 hari#6 hari#8 hari
Lawan kata "rajin" adalah|Malas#Cepat#Tinggi#Bersih
Sinonim kata "pandai" adalah|Pintar#Malas#Tinggi#Lapar
Kalimat yang benar adalah|Ibu memasak di dapur.#Dapur memasak ibu.#Memasak ibu dapur.#Di ibu memasak dapur.
Tanda baca yang digunakan di akhir kalimat tanya adalah|?#!### .
Huruf kapital digunakan pada awal|Nama orang#Nama hewan#Warna#Buah
Kata yang termasuk nama hewan adalah|Kelinci#Meja#Buku#Pensil
Antonim kata "bersih" adalah|Kotor#Rapi#Harum#Indah
Kata "berlari" menunjukkan kegiatan|Bergerak#Warna#Benda#Tempat
Kalimat "Adik minum susu." memiliki jumlah kata|3#2#4#5
Buah yang memiliki banyak biji kecil di luar kulitnya adalah|Stroberi#Apel#Pisang#Jeruk
Manusia bernapas menggunakan|Paru-paru#Hidung#Telinga#Mata
Tumbuhan membuat makanan dengan bantuan|Matahari#Bulan#Api#Angin
Air yang dipanaskan akan berubah menjadi|Uap#Es#Batu#Minyak
Hewan yang berkembang biak dengan bertelur adalah|Ayam#Kucing#Sapi#Kelinci
Pelangi biasanya muncul setelah|Hujan#Gempa#Malam#Kemarau
Profesi yang mengajar di sekolah adalah|Guru#Dokter#Petani#Sopir
Tempat membeli obat adalah|Apotek#Pasar#Sekolah#Terminal
Jika matahari terbit# arahnya dari|Timur#Barat#Utara#Selatan
Kita harus menghormati|Orang tua#Mainan#Tembok#Jalan
Sila pertama Pancasila berbunyi|Ketuhanan Yang Maha Esa#Kemanusiaan yang Adil dan Beradab#Persatuan Indonesia#Keadilan Sosial
Lambang sila kedua adalah|Rantai#Bintang#Pohon beringin#Padi dan kapas
Mouse komputer digunakan untuk|Menggerakkan kursor#Mencetak#Mengetik#Merekam suara
Keyboard digunakan untuk|Mengetik#Menggambar#Mencuci#Mendengar
Monitor berfungsi untuk|Menampilkan gambar#Menghidupkan komputer#Mencetak#Menyimpan data
Apple dalam bahasa Indonesia adalah|Apel#Pisang#Mangga#Jeruk
Banana berarti|Pisang#Apel#Anggur#Pepaya
Cat berarti|Kucing#Anjing#Burung#Ikan
Bird berarti|Burung#Kucing#Sapi#Ayam
Red berarti|Merah#Biru#Hijau#Kuning
Green berarti|Hijau#Merah#Biru#Hitam
Three berarti|Tiga#Dua#Empat#Lima
Eight berarti|Delapan#Enam#Tujuh#Sembilan
Good night berarti|Selamat malam#Selamat pagi#Sampai jumpa#Terima kasih
Thank you berarti|Terima kasih#Maaf#Tolong#Hai
Presiden pertama Indonesia adalah|Soekarno#Soeharto#Habibie#Jokowi
Bendera Indonesia berwarna|Merah putih#Biru putih#Hijau putih#Kuning merah
Indonesia merdeka pada tanggal|17 Agustus 1945#21 April 1945#10 November 1945#1 Juni 1945
