3456 + 2789 =|6245#6235#6255#6246
8000 - 4567 =|3433#3423#3443#3432
245 × 36 =|8820#8720#8920#8860
960 / 24 =|40#38#42#36
12,5 + 7,85 =|20,35#20,25#19,35#21,35
15,8 - 6,45 =|9,35#9,25#9,45#8,35
35% dari 400 adalah|140#120#150#160
12% dari 250 adalah|30#25#20#35
3/4 + 2/8 =|1#7/8#3/4#5/8
5/6 - 1/3 =|1/2#2/3#1/3#5/6
2 1/4 + 1 3/4 =|4#3 1/2#5#4 1/2
FPB dari 36 dan 54 adalah|18#12#9#6
KPK dari 18 dan 24 adalah|72#48#36#96
Skala 1 : 250.000 berarti 4 cm pada peta sama dengan|10 km#4 km#25 km#1 km
Volume balok berukuran 12 cm × 8 cm × 5 cm adalah|480 cm³#400 cm³#520 cm³#460 cm³
Luas lingkaran dengan jari-jari 14 cm (pi = 22/7) adalah|616 cm²#308 cm²#628 cm²#600 cm²
Rata-rata dari 60, 70, 80, 90, dan 100 adalah|80#75#85#90
Median dari 2, 5, 7, 8, 10 adalah|7#5#8#10
Modus dari 3, 5, 5, 6, 7 adalah|5#6#7#3
Sudut penuh besarnya|360 derajat#180 derajat#90 derajat#270 derajat
Ide pokok paragraf disebut juga|Gagasan utama#Judul#Kesimpulan#Pesan
Kalimat efektif adalah|Siswa belajar dengan disiplin setiap hari.#Belajar siswa setiap hari dengan disiplin.#Dengan disiplin setiap belajar siswa hari.#Hari setiap siswa disiplin belajar dengan.
Sinonim kata "objektif" adalah|Netral#Berpihak#Emosional#Berlebihan
Antonim kata "optimis" adalah|Pesimis#Percaya diri#Semangat#Yakin
Imbuhan pada kata "memperbaiki" adalah|Memper- -i#Me- -i#Per- -i#Mem- -kan
Paragraf argumentasi bertujuan|Meyakinkan pembaca#Menceritakan pengalaman#Menghibur pembaca#Memberi petunjuk
Makna konotatif adalah|Makna kiasan#Makna sebenarnya#Makna kamus#Makna harfiah
Kalimat langsung ditandai dengan|Tanda petik#Tanda koma#Tanda hubung#Titik koma
Organ tubuh yang menghasilkan insulin adalah|Pankreas#Jantung#Ginjal#Hati
Bagian darah yang berfungsi melawan kuman adalah|Sel darah putih#Sel darah merah#Trombosit#Plasma
Perubahan energi pada kipas angin adalah|Listrik menjadi gerak#Gerak menjadi listrik#Panas menjadi listrik#Cahaya menjadi panas
Planet yang dijuluki Planet Merah adalah|Mars#Venus#Saturnus#Merkurius
Lapisan ozon terdapat di|Stratosfer#Troposfer#Mesosfer#Termosfer
Contoh energi alternatif adalah|Energi surya#Batu bara#Minyak bumi#Solar
Hubungan saling menguntungkan disebut|Mutualisme#Parasitisme#Komensalisme#Predasi
Ibukota Laos adalah|Vientiane#Hanoi#Bangkok#Phnom Penh
Organisasi ASEAN didirikan di|Bangkok#Jakarta#Manila#Hanoi
Kegiatan membeli barang dari luar negeri disebut|Impor#Ekspor#Produksi#Distribusi
Pelaku ekonomi yang memakai barang disebut|Konsumen#Produsen#Distributor#Eksportir
Bentuk negara Indonesia adalah|Negara Kesatuan Republik Indonesia#Kerajaan#Serikat#Monarki
UUD 1945 terdiri atas|Pembukaan dan Batang Tubuh#Pembukaan saja#Batang Tubuh saja#Penjelasan saja
Hak anak di sekolah adalah|Mendapat pendidikan#Merusak fasilitas#Melanggar tata tertib#Membolos
Kewajiban warga negara adalah|Menaati hukum#Melanggar aturan#Menghindari pajak#Merusak lingkungan
CPU merupakan singkatan dari|Central Processing Unit#Central Program Unit#Computer Processing Utility#Computer Program Unit
Perangkat lunak pengolah presentasi adalah|Microsoft PowerPoint#Microsoft Excel#Microsoft Word#Paint
Firewall berfungsi untuk|Melindungi jaringan#Mencetak dokumen#Mempercepat keyboard#Menyalakan monitor
Password yang kuat sebaiknya terdiri dari|Huruf# angka# dan simbol#Nama sendiri#12345678#Tanggal lahir
Ctrl + Shift + Esc digunakan untuk membuka|Task Manager#File Explorer#Command Prompt#Recycle Bin
Seorang pedagang membeli 20 buku dengan harga Rp15.000 per buku. Total harga pembelian adalah|Rp300.000#Rp250.000#Rp350.000#Rp200.000
Harga sebuah tas Rp120.000 mendapat diskon 25%. Harga setelah diskon adalah|Rp90.000#Rp95.000#Rp100.000#Rp80.000
Jarak sebenarnya 15 km digambar pada peta menjadi 3 cm. Skalanya adalah|1 : 500.000#1 : 50.000#1 : 150.000#1 : 5.000
0,125 sama dengan pecahan|1/8#1/4#1/2#3/8
75% sama dengan pecahan|3/4#2/3#1/2#4/5
3,6 × 100 =|360#36#3600#3,6
7/8 + 1/8 =|1#7/8#6/8#9/8
5/6 + 1/3 =|7/6#1#5/6#2/3
2,4 / 0,6 =|4#3#5#6
Keliling persegi dengan sisi 18 cm adalah|72 cm#36 cm#54 cm#64 cm
Simpulan bacaan harus sesuai dengan|Isi bacaan#Judul saja#Gambar saja#Kalimat pertama
Kalimat yang menggunakan kata baku adalah|Risiko itu harus dipertimbangkan.#Resiko itu harus dipertimbangkan.#Resikko itu harus dipertimbangkan.#Ressiko itu harus dipertimbangkan.
Antonim kata "maksimal" adalah|Minimal#Optimal#Besar#Penuh
Sinonim kata "solusi" adalah|Penyelesaian#Masalah#Pertanyaan#Jawaban
Paragraf deskripsi bertujuan|Menggambarkan objek#Memberikan petunjuk#Meyakinkan pembaca#Menceritakan sejarah
