2456 + 3789 =|6245#6235#6255#6246
8000 - 3567 =|4433#4423#4443#4432
325 X 24 =|7800#7700#7900#7750
864 / 24 =|36#34#38#35
2,5 + 3,75 =|6,25#6,15#6,5#5,25
8,4 - 2,75 =|5,65#5,75#5,55#5,45
25% dari 200 adalah|50#40#25#75
10% dari 350 adalah|35#30#25#40
3/4 + 1/8 =|7/8#5/8#3/8#1
2 1/2 + 1 1/2 =|4#3#5#4 1/2
FPB dari 24 dan 36 adalah|12#6#18#24
KPK dari 15 dan 20 adalah|60#40#30#120
Skala 1 : 100 berarti|1 cm mewakili 100 cm#1 cm mewakili 10 cm#100 cm mewakili 1 cm#10 cm mewakili 100 cm
Volume balok =|Panjang X lebar X tinggi#Sisi X sisi X sisi#Panjang X lebar#2 X (p+l)
Luas segitiga =|1/2 X alas X tinggi#Alas X tinggi#Sisi X sisi#2 X alas
Kalimat utama merupakan|Gagasan pokok paragraf#Judul cerita#Penutup bacaan#Contoh kalimat
Sinonim kata "abadi" adalah|Kekal#Sementara#Sebentar#Baru
Antonim kata "modern" adalah|Tradisional#Maju#Baru#Canggih
Kalimat yang efektif adalah|Siswa belajar dengan tekun setiap hari.#Siswa tekun belajar dengan setiap hari.#Dengan hari siswa belajar tekun setiap.#Belajar siswa hari setiap tekun.
Kata berimbuhan pada kalimat "Ibu memasakkan adik nasi." adalah|Memasakkan#Nasi#Adik#Ibu
Makna denotatif adalah|Makna sebenarnya#Makna kiasan#Makna ganda#Makna tersembunyi
Paragraf persuasi bertujuan|Mengajak pembaca#Menceritakan pengalaman#Menjelaskan proses#Menghibur pembaca
Fotosintesis menghasilkan|Oksigen dan makanan#Karbon dioksida#Uap air#Energi listrik
Hubungan antara makhluk hidup dan lingkungannya disebut|Ekosistem#Habitat#Adaptasi#Evolusi
Contoh simbiosis mutualisme adalah|Lebah dan bunga#Kucing dan tikus#Benalu dan mangga#Singa dan zebra
Rantai makanan selalu dimulai dari|Produsen#Konsumen#Pengurai#Predator
Planet yang memiliki cincin paling jelas adalah|Saturnus#Jupiter#Mars#Venus
Gerhana matahari terjadi ketika|Bulan menutupi matahari#Bumi menutupi bulan#Matahari menutupi bulan#Bintang menutupi bumi
Negara anggota ASEAN yang ibu kotanya Bangkok adalah|Thailand#Vietnam#Laos#Kamboja
ASEAN didirikan pada tahun|1967#1945#1955#1970
Ibukota Filipina adalah|Manila#Hanoi#Bangkok#Kuala Lumpur
Kegiatan mengirim barang ke luar negeri disebut|Ekspor#Impor#Produksi#Distribusi
Pelaku ekonomi yang menghasilkan barang disebut|Produsen#Konsumen#Distributor#Pedagang
Bunyi sila kelima Pancasila adalah|Keadilan sosial bagi seluruh rakyat Indonesia#Persatuan Indonesia#Kemanusiaan yang adil dan beradab#Kerakyatan yang dipimpin oleh hikmat kebijaksanaan
UUD 1945 pertama kali disahkan pada tanggal|18 Agustus 1945#17 Agustus 1945#1 Juni 1945#28 Oktober 1928
Musyawarah harus mengutamakan|Kepentingan bersama#Kepentingan pribadi#Emosi#Kelompok sendiri
Hak warga negara dijamin dalam|UUD 1945#Kitab Sutasoma#Sumpah Pemuda#Piagam Jakarta
Perangkat keras komputer disebut|Hardware#Software#Brainware#Firmware
Sistem operasi pada komputer adalah|Windows#Microsoft Word#Google Chrome#Paint
Perangkat lunak antivirus berfungsi untuk|Melindungi komputer dari virus#Menghapus file#Mempercepat internet#Mencetak dokumen
Cloud storage digunakan untuk|Menyimpan data secara online#Mengetik dokumen#Mencetak foto#Menggambar
CPU merupakan singkatan dari|Central Processing Unit#Computer Processing Utility#Central Program Unit#Computer Program Utility
The opposite of "expensive" is|Cheap#Rich#Large#Small
"Yesterday" means|Kemarin#Besok#Hari ini#Lusa
The capital city of Indonesia is|Jakarta#Bandung#Surabaya#Medan
There are seven days in a|Week#Month#Year#Hour
We drink water because we are|Thirsty#Hungry#Tired#Angry
A library is a place to|Read books#Buy clothes#Play football#Cook food
The past tense of "go" is|Went#Goed#Goes#Going
An elephant is a|Mammal#Bird#Fish#Reptile
Rata-rata dari 6# 8# 10# dan 12 adalah|9#8#10#11
Volume kubus dengan sisi 6 cm adalah|216 cm³#36 cm³#108 cm³#144 cm³
Luas lingkaran dengan jari-jari 7 cm (pi = 22/7) adalah|154 cm²#144 cm²#164 cm²#147 cm²
Keliling lingkaran dengan jari-jari 7 cm (pi = 22/7) adalah|44 cm#42 cm#48 cm#49 cm
15% dari 400 adalah|60#40#50#80
0,75 sama dengan pecahan|3/4#2/3#1/2#4/5
3,25 X 10 =|32,5#3,25#325#30,25
4800 / 100 =|48#4,8#480#40
Jika harga sebuah buku Rp20.000 dan membeli 3 buku# maka total harganya|Rp60.000#Rp50.000#Rp70.000#Rp80.000
Jarak pada peta 5 cm dengan skala 1 : 200.000 adalah|10 km#5 km#20 km#1 km
Paragraf eksposisi bertujuan|Memberikan informasi#Menghibur#Mengajak#Menceritakan pengalaman
Kata baku yang benar adalah|Aktivitas#Aktifitas#Aktipitas#Aktivittas
Antonim kata "kompleks" adalah|Sederhana#Rumit#Sulit#Besar
Sinonim kata "akurat" adalah|Tepat#Buruk#Lambat#Asal
Kalimat yang menggunakan kata hubung sebab adalah|Saya membawa payung karena hujan.#Saya belajar lalu tidur.#Andi dan Budi bermain.#Kami pergi tetapi hujan.
Kesimpulan bacaan harus berdasarkan|Isi bacaan#Judul#Gambar#Kalimat pertama
Contoh energi terbarukan adalah|Energi surya#Minyak bumi#Batu bara#Gas alam
Organ tubuh yang menyaring darah adalah|Ginjal#Jantung#Paru-paru#Lambung
Fungsi sel darah merah adalah|Mengangkut oksigen#Melawan kuman#Membekukan darah#Mencerna makanan
Lapisan atmosfer tempat terjadinya cuaca adalah|Troposfer#Stratosfer#Mesosfer#Termosfer
Adaptasi bebek memiliki kaki berselaput agar|Pandai berenang#Mudah memanjat#Pandai berlari#Cepat terbang
Contoh pencemaran udara disebabkan oleh|Asap kendaraan#Air hujan#Angin#Sejuknya udara
Indonesia memiliki iklim|Tropis#Subtropis#Gurun#Kutub
Kegiatan mengolah bahan mentah menjadi barang jadi disebut|Produksi#Distribusi#Konsumsi#Impor
Mata uang Thailand adalah|Baht#Ringgit#Rupiah#Dollar
Ibukota Vietnam adalah|Hanoi#Ho Chi Minh City#Manila#Vientiane
Kerja sama negara-negara Asia Tenggara dilakukan melalui|ASEAN#PBB#NATO#OPEC
Contoh keragaman budaya Indonesia adalah|Tarian daerah#Jenis planet#Benua#Samudra
Bhinneka Tunggal Ika memiliki arti|Berbeda-beda tetapi tetap satu jua#Bersatu kita teguh#Adil dan makmur#Gotong royong
Hak asasi manusia harus|Dihormati#Dilanggar#Dibatasi tanpa alasan#Diabaikan
Sikap yang sesuai sila kelima adalah|Bersikap adil#Memilih teman#Berbohong#Egois
Pemilu dilaksanakan secara|Langsung# umum# bebas# rahasia# jujur# dan adil#Tertutup#Ditunjuk#Paksa
Perangkat untuk menghubungkan komputer ke jaringan adalah|Router#Printer#Scanner#Speaker
Aplikasi spreadsheet yang umum digunakan adalah|Microsoft Excel#Microsoft Word#Paint#Notepad
Ekstensi file Microsoft Excel adalah|.xlsx#.docx#.pptx#.pdf
Phishing bertujuan untuk|Mencuri data pribadi#Mempercepat internet#Membersihkan virus#Menghapus cache
Backup data berarti|Membuat salinan data#Menghapus data#Mengirim email#Mencetak dokumen
Kita sebaiknya mengunduh aplikasi dari|Sumber resmi#Website sembarang#Email asing#Pesan tidak dikenal
The opposite of "early" is|Late#Fast#High#Young
"How are you?" berarti|Apa kabar?#Siapa namamu?#Di mana rumahmu?#Berapa umurmu?
The plural form of "child" is|Children#Childs#Childes#Child
The sun rises in the|East#West#North#South
She ___ to school every day.|Goes#Go#Going#Went
They ___ football yesterday.|Played#Play#Plays#Playing
Indonesia proclaimed its independence in|1945#1944#1946#1950
Ketua BPUPKI adalah|Dr. Radjiman Wedyodiningrat#Soekarno#Mohammad Hatta#Ahmad Soebardjo
PPKI merupakan singkatan dari|Panitia Persiapan Kemerdekaan Indonesia#Panitia Pembela Kemerdekaan Indonesia#Persatuan Persiapan Kemerdekaan Indonesia#Panitia Perjuangan Kemerdekaan Indonesia
